epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.065,0.94346,1.63981,1.64757,0.80038,0.1194,0.06761,0.02185,2.39217,5.00364,2.84142,0.00332292,0.00332292,0.0700937
2,1157.5,0.86584,1.39167,1.5616,0.40189,0.85492,0.50015,0.29567,1.17934,1.85136,1.60874,0.00665462,0.00665462,0.0400921
3,1739.81,0.82365,1.28832,1.53051,0.24314,0.6009,0.42538,0.30624,0.92566,3.22288,1.3402,0.00997983,0.00997983,0.010084
4,2317.68,0.72309,1.1714,1.43914,0.32852,0.72292,0.50094,0.36462,0.61715,2.08628,1.10708,0.00997803,0.00997803,0.00997803
5,2896.93,0.69627,1.14332,1.41914,0.46375,0.6833,0.52363,0.35817,0.78796,1.78849,1.26969,0.00996097,0.00996097,0.00996097
6,3476.42,0.6743,1.10452,1.39818,0.53977,0.93571,0.72144,0.59893,0.5975,1.06102,1.18146,0.00993906,0.00993906,0.00993906
7,4056.02,0.64013,1.08194,1.3769,0.43958,0.94357,0.70119,0.53573,0.77937,1.30504,1.192,0.00991232,0.00991232,0.00991232
8,4636.84,0.63293,1.05181,1.37068,0.54696,0.92128,0.72267,0.57918,0.72242,1.25106,1.24029,0.00988079,0.00988079,0.00988079
9,5225.06,0.62149,1.04568,1.35861,0.61391,0.95323,0.73944,0.63743,0.54674,0.95819,1.04248,0.00984449,0.00984449,0.00984449
10,5805.13,0.59854,1.02354,1.3319,0.56841,0.95357,0.76387,0.62037,0.76098,1.02062,1.27936,0.00980345,0.00980345,0.00980345
11,6392.83,0.5922,1.00766,1.32848,0.5946,0.95668,0.76172,0.55814,0.73734,1.26519,1.1865,0.00975773,0.00975773,0.00975773
12,6975.94,0.58267,0.98107,1.32563,0.65439,0.92028,0.83204,0.70352,0.63089,0.81346,1.09643,0.00970736,0.00970736,0.00970736
13,7556.26,0.57759,0.96995,1.31065,0.64156,0.88975,0.80809,0.72966,0.53871,0.82276,1.01126,0.00965239,0.00965239,0.00965239
14,8135.5,0.55472,0.95082,1.29665,0.68092,0.90019,0.83161,0.70077,0.57666,0.76387,1.06372,0.00959289,0.00959289,0.00959289
15,8710.6,0.57517,0.93327,1.31157,0.69976,0.94002,0.85026,0.70716,0.67785,0.74915,1.10619,0.00952889,0.00952889,0.00952889
16,9295.01,0.54089,0.92071,1.28257,0.59462,0.8514,0.73787,0.61932,0.61297,0.8931,1.12452,0.00946048,0.00946048,0.00946048
17,9877.17,0.54708,0.92193,1.29174,0.74439,0.89833,0.85391,0.74108,0.58895,0.67255,1.0756,0.00938772,0.00938772,0.00938772
18,10457,0.54522,0.90897,1.28653,0.79664,0.90799,0.87524,0.73489,0.70754,0.632,1.26534,0.00931067,0.00931067,0.00931067
19,11036.7,0.53353,0.90001,1.28093,0.72261,0.87418,0.85305,0.75409,0.58166,0.7227,1.08813,0.00922942,0.00922942,0.00922942
20,11619.8,0.51846,0.89899,1.27508,0.69041,0.85205,0.83455,0.63311,0.76182,0.93222,1.20183,0.00914405,0.00914405,0.00914405
21,12204.1,0.52629,0.88069,1.2761,0.69568,0.95889,0.85457,0.75073,0.55068,0.70564,1.01249,0.00905463,0.00905463,0.00905463
22,12786.6,0.51897,0.88148,1.2654,0.72349,0.92862,0.902,0.79632,0.58285,0.62809,1.10485,0.00896127,0.00896127,0.00896127
23,13367.2,0.50175,0.86841,1.25346,0.80555,0.89939,0.91003,0.81572,0.50621,0.56958,0.98125,0.00886404,0.00886404,0.00886404
24,13947,0.51119,0.87469,1.26118,0.7816,0.92798,0.91102,0.79659,0.54207,0.55368,1.01683,0.00876305,0.00876305,0.00876305
25,14540.2,0.49867,0.86527,1.25395,0.73068,0.94011,0.89339,0.78506,0.55763,0.69373,1.0556,0.00865839,0.00865839,0.00865839
26,15123.7,0.50254,0.86362,1.25633,0.75283,0.87856,0.89164,0.75573,0.58401,0.71676,1.0443,0.00855018,0.00855018,0.00855018
27,15702.9,0.48312,0.8321,1.23766,0.79526,0.90682,0.904,0.79647,0.56532,0.60693,1.05439,0.00843851,0.00843851,0.00843851
28,16278,0.48643,0.8387,1.2405,0.67832,0.92011,0.85211,0.74765,0.56808,0.72472,1.06242,0.00832349,0.00832349,0.00832349
29,16856.1,0.48893,0.81984,1.24637,0.64092,0.87976,0.88606,0.75879,0.54371,0.98783,0.98827,0.00820525,0.00820525,0.00820525
30,17434.7,0.47447,0.81619,1.23809,0.56675,0.77756,0.67125,0.58161,0.52894,1.36024,1.03672,0.00808389,0.00808389,0.00808389
31,18015.9,0.48281,0.80694,1.24335,0.77971,0.94371,0.95611,0.85362,0.52315,0.57631,1.02858,0.00795954,0.00795954,0.00795954
32,18606.4,0.47983,0.81774,1.23992,0.78553,0.9074,0.94042,0.84081,0.53799,0.61883,0.97579,0.00783231,0.00783231,0.00783231
33,19186.4,0.46068,0.80911,1.2235,0.78061,0.92786,0.93504,0.80961,0.59446,0.58752,1.10161,0.00770234,0.00770234,0.00770234
34,19773,0.46485,0.80162,1.22733,0.8061,0.93241,0.95429,0.84254,0.55471,0.59641,1.04654,0.00756976,0.00756976,0.00756976
35,20351.4,0.45762,0.79008,1.22397,0.80061,0.92656,0.95136,0.83969,0.52603,0.58344,0.99513,0.00743468,0.00743468,0.00743468
36,20926.7,0.46442,0.79056,1.22725,0.88662,0.9158,0.97376,0.8601,0.53493,0.49324,1.00961,0.00729725,0.00729725,0.00729725
37,21502.8,0.44967,0.76299,1.21876,0.85516,0.92064,0.96312,0.81658,0.70987,0.79599,1.28109,0.00715761,0.00715761,0.00715761
