epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,971.665,0.39379,1.83086,1.15585,0.7051,0.90302,0.81956,0.75905,0.44144,1.61189,0.86632,0.000416016,0.000416016,0.000416016
2,1867.63,0.33993,1.1555,1.10414,0.74894,0.78045,0.88287,0.63335,0.76051,1.81265,1.29953,0.000824439,0.000824439,0.000824439
3,2764.34,0.33079,0.96652,1.09786,0.91137,0.92649,0.98576,0.84442,0.60391,0.93577,1.02132,0.00122461,0.00122461,0.00122461
4,3637.83,0.31205,0.82443,1.0757,0.95745,0.95571,0.99066,0.88872,0.51862,0.62636,0.87843,0.00121287,0.00121287,0.00121287
5,4510.6,0.29687,0.78529,1.07082,0.85604,0.88985,0.9428,0.87357,0.43772,0.65561,0.79992,0.0012005,0.0012005,0.0012005
6,5372.83,0.29368,0.73795,1.07773,0.94878,0.94915,0.9925,0.8987,0.51221,0.5622,0.86866,0.00118812,0.00118812,0.00118812
7,6197.33,0.2845,0.71763,1.07251,0.94638,0.95729,0.99258,0.8715,0.52117,0.51094,0.85673,0.00117575,0.00117575,0.00117575
8,7031.79,0.2735,0.67026,1.06213,0.97609,0.993,0.9944,0.90957,0.54,0.49816,0.85092,0.00116337,0.00116337,0.00116337
9,7867.58,0.26358,0.63169,1.05178,0.98809,0.98693,0.99398,0.88844,0.53569,0.45345,0.82764,0.001151,0.001151,0.001151
10,8696.8,0.26486,0.63484,1.05144,0.98879,0.98655,0.99476,0.89096,0.50653,0.37534,0.835,0.00113863,0.00113863,0.00113863
11,9529.66,0.25625,0.60795,1.05085,0.97926,0.98072,0.99148,0.89598,0.52197,0.40316,0.81997,0.00112625,0.00112625,0.00112625
12,22141.9,0.25291,0.59711,1.05293,0.98359,0.99236,0.995,0.90092,0.49178,0.39714,0.8652,0.00111388,0.00111388,0.00111388
13,22829.1,0.25208,0.58204,1.05119,0.93197,0.91646,0.99026,0.87658,0.52909,0.63268,0.84491,0.0011015,0.0011015,0.0011015
14,23516.3,0.247,0.56887,1.04723,0.97472,0.98166,0.99493,0.86976,0.50828,0.35851,0.79242,0.00108913,0.00108913,0.00108913
15,24210.8,0.23962,0.54279,1.03786,0.99327,0.98292,0.99493,0.88841,0.5,0.39785,0.82353,0.00107675,0.00107675,0.00107675
16,24897,0.25086,0.5549,1.0527,0.99055,0.98802,0.99451,0.91356,0.49565,0.36272,0.83107,0.00106437,0.00106437,0.00106437
17,25591.4,0.23758,0.54324,1.04054,0.98072,1,0.995,0.90929,0.42777,0.328,0.78061,0.001052,0.001052,0.001052
18,29288,0.23678,0.518,1.0449,0.99616,0.99854,0.995,0.91043,0.43425,0.30998,0.77305,0.00103962,0.00103962,0.00103962
19,29976.3,0.2312,0.50599,1.02945,0.9975,0.9986,0.995,0.91721,0.45155,0.30037,0.78099,0.00102725,0.00102725,0.00102725
20,30661.4,0.23695,0.50431,1.04374,0.99485,0.97908,0.995,0.89047,0.50367,0.43623,0.83412,0.00101488,0.00101488,0.00101488
21,31341.9,0.22703,0.49505,1.03441,0.97876,0.98619,0.99487,0.91247,0.46901,0.36992,0.79765,0.0010025,0.0010025,0.0010025
22,32025.2,0.22266,0.49811,1.03226,0.97781,0.98312,0.99407,0.90423,0.44387,0.35451,0.78849,0.000990125,0.000990125,0.000990125
23,32788.1,0.23312,0.4849,1.03679,0.99344,0.99563,0.99493,0.90853,0.46147,0.30045,0.78261,0.00097775,0.00097775,0.00097775
24,33441.4,0.23604,0.49364,1.03633,0.99587,0.99134,0.99493,0.91412,0.44804,0.31981,0.7523,0.000965375,0.000965375,0.000965375
25,34092.7,0.22342,0.47328,1.03236,0.99438,0.99643,0.99496,0.91628,0.44274,0.30217,0.75718,0.000953,0.000953,0.000953
26,34752.7,0.2305,0.46629,1.0346,0.99867,0.99947,0.995,0.91966,0.43741,0.30857,0.79553,0.000940625,0.000940625,0.000940625
27,35404.2,0.22442,0.47749,1.03201,0.99346,0.99535,0.99493,0.90012,0.47149,0.34451,0.78749,0.00092825,0.00092825,0.00092825
28,36072,0.22064,0.48993,1.02969,0.99229,0.99712,0.99493,0.91577,0.43814,0.31194,0.77527,0.000915875,0.000915875,0.000915875
29,36740.7,0.22265,0.45391,1.03287,0.99846,1,0.995,0.91807,0.46532,0.36361,0.82554,0.0009035,0.0009035,0.0009035
30,37402.6,0.21851,0.466,1.03016,0.99017,0.9875,0.99496,0.92647,0.47321,0.32699,0.80544,0.000891125,0.000891125,0.000891125
31,38069.8,0.21623,0.44297,1.02321,0.9902,0.99089,0.995,0.89281,0.47688,0.3531,0.82893,0.00087875,0.00087875,0.00087875
32,38735.8,0.21663,0.45211,1.02867,0.99404,0.99349,0.995,0.88545,0.46274,0.35907,0.80252,0.000866375,0.000866375,0.000866375
33,39407.4,0.21081,0.45242,1.02116,0.99611,0.99536,0.99496,0.91842,0.42034,0.2951,0.73898,0.000854,0.000854,0.000854
34,40083.4,0.21545,0.43928,1.03233,0.99351,0.98111,0.99447,0.90538,0.44849,0.33217,0.75309,0.000841625,0.000841625,0.000841625
35,40756,0.22398,0.44017,1.03443,0.99254,0.99996,0.995,0.89597,0.54946,0.28908,0.89058,0.00082925,0.00082925,0.00082925
36,41408.9,0.21169,0.43643,1.02265,0.99934,0.99093,0.99493,0.89617,0.53785,0.31459,0.8949,0.000816875,0.000816875,0.000816875
37,42059,0.21578,0.43029,1.02498,0.99883,1,0.995,0.91594,0.5063,0.25146,0.83154,0.0008045,0.0008045,0.0008045
38,42712.4,0.21214,0.43509,1.02922,0.9954,0.99643,0.99422,0.91677,0.51775,0.29754,0.87596,0.000792125,0.000792125,0.000792125
39,43368.2,0.21713,0.43197,1.02689,0.99536,0.999,0.995,0.875,0.54401,0.27295,0.90302,0.00077975,0.00077975,0.00077975
40,44019.1,0.21526,0.41204,1.02961,0.99874,0.99949,0.995,0.89636,0.48996,0.26426,0.83689,0.000767375,0.000767375,0.000767375
41,44686.5,0.20798,0.41058,1.02251,0.99791,1,0.995,0.86434,0.52948,0.29889,0.87319,0.000755,0.000755,0.000755
42,45354.9,0.20701,0.39309,1.02289,0.99846,1,0.995,0.90589,0.49282,0.26084,0.83034,0.000742625,0.000742625,0.000742625
43,46016.7,0.21221,0.41779,1.02393,0.99709,0.99896,0.995,0.89082,0.49527,0.274,0.84864,0.00073025,0.00073025,0.00073025
44,46687,0.21032,0.4033,1.03215,0.99806,1,0.995,0.89876,0.49323,0.24342,0.81395,0.000717875,0.000717875,0.000717875
45,47363.1,0.22118,0.41307,1.02816,0.99794,0.99726,0.995,0.85663,0.48395,0.24363,0.82086,0.0007055,0.0007055,0.0007055
46,48029.8,0.20164,0.39858,1.02511,0.9991,0.99735,0.995,0.92129,0.49194,0.26511,0.81941,0.000693125,0.000693125,0.000693125
47,48683.8,0.20864,0.38612,1.02197,0.99903,1,0.995,0.91744,0.45853,0.22225,0.79012,0.00068075,0.00068075,0.00068075
48,49336.5,0.20172,0.38558,1.02102,0.99731,1,0.995,0.9097,0.509,0.242,0.85502,0.000668375,0.000668375,0.000668375
49,49991.8,0.20072,0.38184,1.01944,0.99741,0.99987,0.995,0.9173,0.48209,0.25291,0.83585,0.000656,0.000656,0.000656
50,50643.7,0.20247,0.37997,1.02448,0.98817,0.99117,0.995,0.89694,0.48839,0.2798,0.84908,0.000643625,0.000643625,0.000643625
51,51294.8,0.20127,0.36734,1.02114,0.99831,1,0.995,0.88725,0.50376,0.22413,0.83916,0.00063125,0.00063125,0.00063125
52,51948.4,0.20157,0.3752,1.01942,0.99912,0.99733,0.995,0.90802,0.48408,0.2442,0.83935,0.000618875,0.000618875,0.000618875
53,52602.2,0.20305,0.37259,1.02126,0.99846,1,0.995,0.88201,0.49111,0.23055,0.85767,0.0006065,0.0006065,0.0006065
54,53255.1,0.19649,0.36604,1.01456,0.99861,0.99745,0.995,0.90747,0.48275,0.25019,0.82917,0.000594125,0.000594125,0.000594125
55,53907.7,0.19894,0.37019,1.01381,0.9975,0.99943,0.995,0.88888,0.49493,0.22579,0.82901,0.00058175,0.00058175,0.00058175
56,54561,0.19299,0.38501,1.01646,0.99641,0.9993,0.995,0.89554,0.49917,0.24379,0.88304,0.000569375,0.000569375,0.000569375
57,55215.1,0.20288,0.3726,1.01941,0.99848,1,0.995,0.8699,0.49406,0.23728,0.86715,0.000557,0.000557,0.000557
58,55866.2,0.19625,0.3721,1.01415,0.99823,1,0.995,0.92323,0.46213,0.23554,0.81437,0.000544625,0.000544625,0.000544625
59,56518.2,0.19273,0.36554,1.01263,0.99798,0.9973,0.995,0.91303,0.49039,0.27356,0.86347,0.00053225,0.00053225,0.00053225
60,57176.4,0.1986,0.34969,1.0209,0.99821,1,0.995,0.90108,0.46761,0.24846,0.8019,0.000519875,0.000519875,0.000519875
61,57829.9,0.19603,0.36216,1.01399,0.99756,0.99794,0.995,0.87448,0.48273,0.26436,0.83515,0.0005075,0.0005075,0.0005075
62,58481.4,0.19217,0.35049,1.01342,0.99874,1,0.995,0.89921,0.48633,0.25038,0.80346,0.000495125,0.000495125,0.000495125
63,59140.6,0.1941,0.34641,1.011,0.99793,1,0.995,0.88273,0.49172,0.24753,0.82353,0.00048275,0.00048275,0.00048275
64,59793.9,0.19414,0.3467,1.01768,0.99857,1,0.995,0.90953,0.47912,0.23199,0.8343,0.000470375,0.000470375,0.000470375
65,60447.3,0.18513,0.34511,1.00792,0.99773,1,0.995,0.89461,0.48809,0.25573,0.82824,0.000458,0.000458,0.000458
66,61103.4,0.17591,0.32994,1.00182,0.99877,0.9971,0.995,0.92359,0.46868,0.26282,0.82174,0.000445625,0.000445625,0.000445625
67,61756.9,0.18554,0.33953,1.00884,0.99854,0.99827,0.995,0.92399,0.46126,0.24108,0.7933,0.00043325,0.00043325,0.00043325
